time(UTC);RH
20210203:1300;74,6
20210203:1400;72,05
20210203:1500;74,7
20210203:1600;77,35
20210203:1700;83,1
20210203:1800;80,15
20210203:1900;83,05
20210203:2000;83,05
20210203:2100;83,05
20210203:2200;83,05
20210203:2300;86,05
20210204:0000;86,05
20210204:0100;86,05
20210204:0200;86
20210204:0300;86
20210204:0400;86
20210204:0500;89,15
20210204:0600;92,45
20210204:0700;89,15
20210204:0800;89,15
20210204:0900;86
20210204:1000;83
20210204:1100;77,3
20210204:1200;64,75
20210204:1300;60,4
20210204:1400;54,25
20210204:1500;52,4
20210204:1600;56,25
20210204:1700;62,55
20210204:1800;67,05
20210204:1900;80,1
20210204:2000;80,05
20210204:2100;79,95
20210204:2200;82,9
20210204:2300;89,05
20210205:0000;89,05
20210205:0100;92,35
20210205:0200;92,35
20210205:0300;92,35
20210205:0400;92,3
20210205:0500;92,3
20210205:0600;92,3
20210205:0700;88,95
20210205:0800;85,75
20210205:0900;82,85
20210205:1000;66,75
20210205:1100;62,3
20210205:1200;60,3
20210205:1300;54,35
20210205:1400;54,45
20210205:1500;52,65
20210205:1600;52,65
20210205:1700;62,75
20210205:1800;64,85
20210205:1900;69,55
20210205:2000;66,95
20210205:2100;71,75
20210205:2200;79,95
20210205:2300;89,1
20210206:0000;89,1
20210206:0100;92,4
20210206:0200;92,35
20210206:0300;92,35
20210206:0400;92,3
20210206:0500;95,75
20210206:0600;92,3
20210206:0700;95,8
20210206:0800;92,35
20210206:0900;85,85
20210206:1000;82,85
20210206:1100;86
20210206:1200;83
20210206:1300;86,05
20210206:1400;80,05
20210206:1500;80,05
20210206:1600;80,05
20210206:1700;77,1
20210206:1800;79,85
20210206:1900;85,9
20210206:2000;92,35
20210206:2100;89
20210206:2200;92,3
20210206:2300;95,75
20210207:0000;89
20210207:0100;85,75
20210207:0200;88,95
20210207:0300;88,9
20210207:0400;92,25
20210207:0500;95,75
20210207:0600;95,7
20210207:0700;95,7
20210207:0800;95,7
20210207:0900;92,25
20210207:1000;85,7
20210207:1100;73,95
20210207:1200;63,9
20210207:1300;57,15
20210207:1400;55,15
20210207:1500;55,15
20210207:1600;61,75
20210207:1700;68,9
20210207:1800;71,35
20210207:1900;82,6
20210207:2000;85,7
20210207:2100;92,25
20210207:2200;92,25
20210207:2300;92,25
20210208:0000;88,9
20210208:0100;92,3
20210208:0200;95,75
20210208:0300;99,4
20210208:0400;95,8
20210208:0500;95,8
20210208:0600;95,8
20210208:0700;99,4
20210208:0800;95,8
20210208:0900;95,8
20210208:1000;89
20210208:1100;76,85
20210208:1200;71,5
20210208:1300;66,45
20210208:1400;69
20210208:1500;71,6
20210208:1600;69
20210208:1700;68,9
20210208:1800;74,05
20210208:1900;79,7
20210208:2000;79,7
20210208:2100;82,65
20210208:2200;79,65
20210208:2300;79,65
20210209:0000;82,6
20210209:0100;85,7
20210209:0200;88,9
20210209:0300;92,25
20210209:0400;92,25
20210209:0500;95,75
20210209:0600;92,3
20210209:0700;92,3
20210209:0800;92,35
